None;BBCH median;Chlorophyll mean;Chlorophyll std;Height [cm] mean;Height [cm] std;LAI mean;LAI std;VWC kg/m2;Dry biomass total kg/m2
2017-06-08;15;38.6867;10.2998;24.3333;1.5275;0.3983;0.05;0.1134;0.0077
2017-06-13;17;40.9933;4.33;38;3;0.4216;0.0832;0.0824;0.0393
2017-06-19;32;40.18;3.6925;63.6667;1.1547;0.8276;0.1808;0.7;0.0962
2017-06-26;32;49.34;6.3698;109.3333;1.1547;1.5909;0.22;1.6599;0.1734
2017-07-06;36;50.94;5.0527;191;7.8102;2.5624;0.249;2.8308;0.3632
2017-07-17;71;53.24;4.6374;265.3333;11.0151;3.5013;0.5953;4.1464;0.7202
2017-07-28;71;51.44;6.5012;291;11.5326;4.1544;0.2656;5.3791;1.1662
2017-08-09;83;53.0733;6.0409;280.3333;7.2342;4.3525;0.3984;6.1076;1.533
2017-08-18;;53.26;7.3971;274.6667;9.2376;4.0772;0.5043;5.9913;1.7101
2017-08-30;87;52.4933;4.9489;291.3333;3.2146;3.4664;0.3478;5.1276;1.7531
2017-09-15;;44.25;5.0149;283.3333;10.4083;2.7548;0.3202;4.1274;1.8421
2017-09-22;89;43.3133;6.7839;298.3333;1.5275;;;3.755;2.1113
