date;BBCH median;Chlorophyll mean;Chlorophyll std;Height [cm] mean;Height [cm] std;LAI mean;LAI std;VWC kg/m2;Dry biomass total kg/m2
2017-03-24;23;53.4067;3.9691;12.3333;1.5275;0.6289;0.1003;0.302;0.0758
2017-03-28;24;52.5467;3.7271;13.6667;0.5774;0.8531;0.2218;0.3915;0.0642
2017-04-05;25;55.6667;3.2361;23.6667;1.5275;1.4666;0.1367;0.4768;0.1032
2017-04-10;28;47.6857;10.1674;25;2.6458;2.272;0.4054;0.7645;0.1752
2017-04-21;28;42.1267;4.0595;25.6667;4.9329;3.0494;0.3247;1.3247;0.2749
2017-05-02;30;40.8867;6.752;29;1;3.6606;0.5546;2.0521;0.3996
2017-05-10;30;40.8867;6.752;29;1;4.1004;0.5852;2.7388;0.5387
2017-05-16;33;56.58;3.7672;52;1;4.873;0.3058;3.2072;0.6719
2017-05-26;34;61;3.527;65;;5.3608;0.5373;3.4182;0.7782
2017-05-29;43;56.0533;5.1712;71.3333;2.8868;5.8632;0.332;3.4847;0.8508
2017-06-02;58;59.2867;5.2777;78.3333;2.8868;6.2429;0.2856;3.5834;0.907
2017-06-08;61;53.34;5.5996;78.6667;2.0817;6.3748;1.4102;3.8172;0.9844
2017-06-13;65;54.32;2.9042;84.3333;2.0817;6.22;0.4717;4.1185;1.122
2017-06-19;69;53.5867;3.3806;87;1;5.8419;1.5318;4.2573;1.336
2017-06-26;83;53.2467;3.834;85.3333;2.5166;5.3587;0.2982;3.9612;1.6019
2017-07-06;;49.48;4.0791;81.6667;1.5275;4.8633;0.253;3.0799;1.8557
2017-07-17;87;17.08;6.8304;79.6667;1.5275;4.3684;0.2711;1.7027;2.0154
